[TAILING] Tailing last 500 lines for [all] processes (change the value with --lines option)
/home/glojas/.pm2/pm2.log last 500 lines:
PM2        | 2025-10-17T06:47:37: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T06:47:37: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T06:48:34: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T06:48:34: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T06:48:34: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T06:48:40: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T06:48:40: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T06:48:40: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T06:49:41: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T06:49:41: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T06:49:41: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T06:50:09: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T06:50:09: PM2 log: App [business-api:2] starting in -fork mode-
PM2        | 2025-10-17T06:50:09: PM2 log: App [business-api:2] online
PM2        | 2025-10-17T06:50:27: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T06:50:27: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T06:50:27: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T06:51:29: PM2 log: App [legacy-api:3] exited with code [1] via signal [SIGINT]
PM2        | 2025-10-17T06:51:29: PM2 log: App [legacy-api:3] starting in -fork mode-
PM2        | 2025-10-17T06:51:29: PM2 log: App [legacy-api:3] online
PM2        | 2025-10-17T06:51:42: PM2 log: App [business-api:2] exited with code [1] via signal [SIGINT]
